Reporter Name,Partner Name,Trade Flow,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kenya, World,Export,Export Partner Share (%),100,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,100,,100,100,100,100,100,100
Kenya,Afghanistan,Export,Export Partner Share (%),,,,,,,,,2.0082,2.361,1.1727,2.7371,1.3647,0.568,0.6146,0.9325,1.2509,2.2152,2.9107,,,3.3261,,2.4958,1.8485,0.5297,0.6155,0.6065,0.359
Kenya,Albania,Export,Export Partner Share (%),,,,,,,,,,0,0,0.0018,,0.0004,0,,,,0.0003,,,0.0037,,,0,0.0011,0.0011,0.0007,0.0029
Kenya,Algeria,Export,Export Partner Share (%),,,,,,0.0525,0.0098,0.0134,0.0117,0.0893,0.5041,0.0036,0.0137,0.0032,0.0019,0.0007,0.0018,0.0005,0.0009,,,0.1143,,0.0623,0.0212,0.0051,0.0066,0.0199,0.0056
Kenya,American Samoa,Export,Export Partner Share (%),,,,,,,,,,,,0.0006,0.0005,0.005,0.0069,0.0007,0.0001,0.0208,0.0019,,,0.0003,,0.0788,0.6256,0.1714,0.1932,0.4762,0.0032
Kenya,Andorra,Export,Export Partner Share (%),,,,,,,,,,0.0002,0.0003,,,0.0026,0.0034,0.0119,0.0005,,,,,,,,0.0016,,0.0006,,
Kenya,Angola,Export,Export Partner Share (%),0.0195,,,,,0.0114,0.0117,0.0271,0.0053,0.0257,0.0384,0.1543,0.0555,0.0484,0.1235,0.1056,0.0457,0.0357,0.0615,,,0.0369,,0.0176,0.0129,0.0066,0.0168,0.0115,0.0243
Kenya,Anguila,Export,Export Partner Share (%),,,,,,,,,,,,0.0006,0.0002,0,0.0004,0.0014,0.0052,0.0018,0,,,,,0.0003,,0,,0,
Kenya,Antigua and Barbuda,Export,Export Partner Share (%),,,,,,,,,,,,0.0014,0.015,0.0021,0.0002,0.0045,0.0006,0.001,0.0015,,,0.0007,,,0.0001,0.0001,,0,0
Kenya,Argentina,Export,Export Partner Share (%),,,,,,0.038,0.048,0.0433,0.0261,0.0199,0.0083,0.0132,0.0043,0.0089,0.004,0.0048,0.0028,0.002,0,,,0.0001,,0.0102,0.0002,0,0.0055,0.0005,0.0004
Kenya,Armenia,Export,Export Partner Share (%),,,,,,,,,,,,0.0039,0.0005,0.0009,0.0012,0.0008,0.001,0.0014,0.0043,,,0.0475,,0.0001,0.0004,0.0002,0.0003,0.0005,0.0007
Kenya,Aruba,Export,Export Partner Share (%),,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0001,0.0002
Kenya,Australia,Export,Export Partner Share (%),0.2983,,,,,0.3299,0.3251,0.5091,0.4618,0.6571,0.2366,0.4086,0.2541,0.2736,0.2189,0.4006,0.1353,0.1906,0.1553,,,0.5572,,0.3981,0.3812,0.3846,0.4697,0.4048,0.3668
Kenya,Austria,Export,Export Partner Share (%),0.0596,,,,,0.0727,0.0308,0.0504,0.0924,0.0827,0.0701,0.1691,0.0224,0.0237,0.0235,0.0448,0.0824,0.1097,0.131,,,0.0168,,0.0167,0.0198,0.016,0.0215,0.0149,0.0218
Kenya,Azerbaijan,Export,Export Partner Share (%),,,,,,,,,,,,0.0007,0.0024,0.0028,0.015,0.0086,0.0037,0.0037,0.0225,,,0.0016,,0.0023,0.0005,0.0123,0.0061,0.0104,0.0088
Kenya,"Bahamas, The",Export,Export Partner Share (%),,,,,,,,,,0.0001,0.0039,0.0014,0.0063,0.0061,0.0046,,0.0014,,,,,0.348,,0.0647,0.065,0.0431,,0,0.0002
Kenya,Bahrain,Export,Export Partner Share (%),0.1165,,,,,0.0147,0.0088,0.019,0.014,0.025,0.4886,0.0195,0.0885,0.036,0.0378,0.0424,0.0367,0.0267,0.0205,,,0.0208,,0.0854,0.0647,0.1641,0.0745,0.0402,0.1713
Kenya,Bangladesh,Export,Export Partner Share (%),0.0161,,,,,0.0158,0.0142,0.0354,0.0165,0.0211,0.0121,0.0148,0.0476,0.0435,0.0121,0.0099,0.0676,0.0588,0.1194,,,0.0553,,0.0197,0.0232,0.0575,0.0623,0.1343,0.0648
Kenya,Barbados,Export,Export Partner Share (%),,,,,,,,,,,,0.0011,0.0003,,,0.0007,,,0,,,0,,0,0,0.0001,0,0.0005,
Kenya,Belarus,Export,Export Partner Share (%),,,,,,,,,,,,0.0001,0.0008,,0.0001,,,,0.0006,,,0.0293,,0.0048,0.0044,0.0014,0.0002,0.0017,0.0068
Kenya,Belgium,Export,Export Partner Share (%),,,,,,,,1.3389,1.5389,1.6652,1.2383,1.2507,1.2014,1.155,0.8634,0.9453,0.8171,0.9827,1.0148,,,1.2984,,0.7813,0.9333,1.0142,1.0351,1.2353,1.0695
Kenya,Belgium-Luxembourg,Export,Export Partner Share (%),1.8533,,,,,1.6657,1.482,,,,,,,,,,,,,,,,,,,,,,
Kenya,Belize,Export,Export Partner Share (%),,,,,,,,,,,0.0007,,,,,,0.0006,0.0003,,,,,,0.0345,0.005,,,,
Kenya,Benin,Export,Export Partner Share (%),0.0002,,,,,0.0144,0.0087,0.003,0.0149,0.0244,0.0048,0.0184,0.0106,0.0095,0.0149,0.0163,0.0106,0.0097,0.0041,,,0.0119,,0.0649,0.0402,0.0108,0.0031,0.0026,0.0068
Kenya,Bermuda,Export,Export Partner Share (%),,,,,,,,,,,,0,0,0.0016,0.0059,0.0001,,0.0004,,,,,,0.0968,0.0651,0.0231,0,,
Kenya,Bhutan,Export,Export Partner Share (%),,,,,,,,,,,,0,0.002,0,,0.0002,,,,,,0.0027,,0.0527,0.0517,0.0068,0,,
Kenya,Bolivia,Export,Export Partner Share (%),,,,,,,,,,,0.0021,0.0001,0.0001,0.0001,0.0001,0.0006,,,,,,0.0002,,0.092,0.1014,0.0349,0.0028,0.0006,
Kenya,Bosnia and Herzegovina,Export,Export Partner Share (%),,,,,,,,0.024,0,0.0007,,0.0004,0.0037,0.0008,0.0002,0.0001,0,0.0003,0.0003,,,0.0001,,0.0003,0.0003,0.0006,0,0.001,0.0009
Kenya,Botswana,Export,Export Partner Share (%),,,,,,,,,0.0053,0.0069,0.0079,0.0158,0.0056,0.009,0.0113,0.0124,0.0217,0.0046,0.0102,,,0.0736,,0.0763,0.039,0.017,0.0212,0.0339,0.0359
Kenya,Bouvet Island,Export,Export Partner Share (%),,,,,,,,,,,,0.0006,,,,,,,,,,,,,,,,,
Kenya,Brazil,Export,Export Partner Share (%),0.0058,,,,,0.0173,0.0059,0.0051,0.0355,0.0151,0.0064,0.0131,0.0135,0.0215,0.0143,0.0635,0.0435,0.0235,0.0062,,,0.0035,,0.0867,0.087,0.0463,0.0142,0.0109,0.0037
Kenya,British Indian Ocean Ter.,Export,Export Partner Share (%),,,,,,,,,,,,0.0052,0.0055,0.0019,0,,0.0037,0.0082,,,,,,0.0032,,,,,
Kenya,British Virgin Islands,Export,Export Partner Share (%),,,,,,,,,,,,0.0003,0.0003,,,,,,,,,,,,,,,,
Kenya,Brunei,Export,Export Partner Share (%),,,,,,,,,,0.008,0.0002,0.0001,0.0002,0.0006,0.0011,0,0.0002,0.0002,,,,,,0.0684,0.0752,0.0433,,0.0148,0.0015
Kenya,Bulgaria,Export,Export Partner Share (%),0.0014,,,,,,,,,0.0102,0.0029,0.0469,0.0312,0.008,0.0116,0.0178,0.0034,0.0062,0.0046,,,0.0331,,0.0844,0.0879,0.0746,0.0084,0.0219,0.0034
Kenya,Bunkers,Export,Export Partner Share (%),6.9627,,,,,2.1114,0.8871,0.4304,1.4004,0.0772,1.9355,,,2.7327,3.6772,1.1838,0.8326,0.7042,0.7445,,,0.3934,,1.2687,0.2188,,0.2478,0.3439,1.973
Kenya,Burkina Faso,Export,Export Partner Share (%),0.0022,,,,,0.0217,0.0043,0.0069,0.0109,0.0095,0.0568,0.0806,0.0401,0.0103,0.0046,0.0029,0.0021,0.0033,0.0068,,,0.0042,,0.0076,0.0122,0.0063,0.0048,0.0192,0.0287
Kenya,Burundi,Export,Export Partner Share (%),0.4824,,,,,0.2306,0.2228,0.6233,0.3325,0.4894,1.1696,1.6006,1.4682,1.4371,0.8651,0.8825,1.0107,1.3327,1.3319,,,1.0919,,1.135,1.2528,1.2425,1.0756,1.1302,0.9171
Kenya,Cambodia,Export,Export Partner Share (%),,,,,,,,,,,0.0003,0,0.0001,0.0017,0.0001,0,0.0003,0.0002,0.0001,,,0.0003,,0.0066,0.0003,,0.0134,0.0004,0.0004
Kenya,Cameroon,Export,Export Partner Share (%),0.0224,,,,,0.0381,0.0895,0.0134,0.0107,0.0154,0.0135,0.0144,0.0662,0.0507,0.0166,0.0127,0.0133,0.0106,0.0192,,,0.0155,,0.0286,0.0104,0.0145,0.0137,0.0054,0.0089
Kenya,Canada,Export,Export Partner Share (%),0.5167,,,,,0.5173,0.5308,0.3801,0.3932,0.2919,0.2218,0.2432,0.2002,0.194,0.2423,0.2398,0.2158,0.2924,0.2855,,,0.2717,,0.3939,0.9911,0.6116,0.5123,0.4915,0.1941
Kenya,Cape Verde,Export,Export Partner Share (%),,,,,,,0.0001,,,,,0,0.023,0.001,0.0035,0.0028,,0.0042,,,,0,,0.0403,0.0002,0,,,0.0009
Kenya,Cayman Islands,Export,Export Partner Share (%),,,,,,,,,,,,0.0009,0.0048,,0.0015,,,,,,,0,,0.0028,,0,0,0.0004,
Kenya,Central African Republic,Export,Export Partner Share (%),0.0002,,,,,0,,0.0021,,,0.0001,,0.0005,0.0001,0.0132,0.0264,0.0186,0.019,0.0158,,,0.0152,,0.0588,0.0097,0.0073,0.01,0.0179,0.0419
Kenya,Chad,Export,Export Partner Share (%),,,,,,0.0017,0.0034,0.0001,0.006,0.0002,0.0018,0.0019,0.0039,0.0191,0.0029,0.0068,0.0166,0.036,0.007,,,0.0075,,0.0153,0.0063,0.0097,0.0167,0.1402,0.0321
Kenya,Chile,Export,Export Partner Share (%),,,,,,0.0017,0.0018,0.0087,0.0172,0.02,0.0108,0.0369,0.0147,0.0318,0.0488,0.0129,0.0413,0.0201,0.0394,,,0.0396,,0.2022,0.0614,0.1008,0.1001,0.0585,0.1137
Kenya,China,Export,Export Partner Share (%),0.1407,,,,,0.0313,0.0677,0.2351,0.2648,0.1996,0.2632,0.2988,0.3935,0.4958,0.6155,0.5357,0.5885,0.721,0.6129,,,0.8802,,1.4579,1.7405,1.6827,1.8163,2.5455,2.3079
Kenya,Cocos (Keeling) Islands,Export,Export Partner Share (%),,,,,,,,,,,,0.0012,0.0024,,,,,,,,,,,,,,,,
Kenya,Colombia,Export,Export Partner Share (%),,,,,,0.0009,0.0007,0.0042,0.0085,0.0018,0.0214,0.0389,0.133,0.017,0.061,0.0344,0.0317,0.043,0.0124,,,0.0962,,0.0794,0.0133,0.0147,0.0212,0.0176,0.01
Kenya,Comoros,Export,Export Partner Share (%),0.3123,,,,,0.1653,0.1672,0.1821,0.2165,0.1125,0.1613,0.1683,0.1685,0.1988,0.1521,0.0816,0.1135,0.1269,0.114,,,0.1843,,0.19,0.1951,0.0942,0.0725,0.0412,0.0227
Kenya,"Congo, Dem. Rep.",Export,Export Partner Share (%),0.5764,,,,,1.9568,1.5303,1.5594,1.7861,,,2.7658,3.5107,3.9339,3.0547,3.0254,2.871,3.2827,3.1215,,,3.7116,,3.558,3.4659,3.1777,2.4762,2.2625,2.2304
Kenya,"Congo, Rep.",Export,Export Partner Share (%),0.0015,,,,,0.0805,0.0575,0.0737,0.0613,2.2008,2.9021,0.3843,0.0214,,,0.0229,,0.0088,,,,0.0141,,0.0018,0.0032,0.0014,,0,0.0228
Kenya,Cook Islands,Export,Export Partner Share (%),,,,,,,,,,,,0.0002,0.0009,,0.0032,,,,,,,,,0.0386,0.0117,0.002,,,0
Kenya,Costa Rica,Export,Export Partner Share (%),,,,,,,,,,0.0065,0.0003,0.0056,0.0005,0.003,0.0083,0.0005,0,,0.0008,,,0.0012,,0.0417,0.0008,0.0001,0,0.0004,0
Kenya,Cote d'Ivoire,Export,Export Partner Share (%),0.0116,,,,,0.0157,0.0342,0.0101,0.0376,0.0283,0.0118,0.0191,0.0582,0.0189,0.0395,0.0463,0.023,0.0125,0.0162,,,0.0267,,0.0759,0.0275,0.0279,0.0442,0.0813,0.0711
Kenya,Croatia,Export,Export Partner Share (%),,,,,,0.0007,,0.0261,0.0001,,,0.0004,0.0015,0.0016,0.001,0.0053,0.0022,,0.0004,,,0.001,,0.0027,0.002,0.0181,0.0174,0.0005,0.0029
Kenya,Cuba,Export,Export Partner Share (%),,,,,,,,,,0.0084,0,0.0024,,0.008,0.0002,0.0024,,,0.0026,,,,,0.0383,0.0045,0,0,0.0002,0
Kenya,Cyprus,Export,Export Partner Share (%),0.0001,,,,,0.0169,0.0176,0.0058,0.0106,0.019,0.0084,0.0143,0.0212,0.0373,0.0265,0.0328,0.015,0.0301,0.0442,,,0.0393,,0.0643,0.0374,0.0397,0.0543,0.0272,0.0369
Kenya,Czech Republic,Export,Export Partner Share (%),,,,,,0.0243,0.0014,0.0098,0.0133,0.0074,0.0052,0.0065,0.0029,0.0047,0.0127,0.0171,0.0145,0.0123,0.005,,,0.0022,,0.0143,0.0132,0.0139,0.0145,0.0089,0.0127
Kenya,Czechoslovakia,Export,Export Partner Share (%),0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Denmark,Export,Export Partner Share (%),0.1867,,,,,0.1227,0.0955,0.1125,0.2087,0.2556,0.0874,0.1329,0.0908,0.081,0.0772,0.0845,0.0749,0.0396,0.0441,,,0.0617,,0.1681,0.1142,0.1252,0.1445,0.1806,0.1827
Kenya,Djibouti,Export,Export Partner Share (%),0.2556,,,,,0.1758,0.1241,0.1034,0.2106,0.4559,0.2201,0.2225,0.2624,0.2613,0.3371,0.8318,0.2348,0.2063,0.226,,,0.2548,,0.191,0.228,0.1312,0.1046,0.1131,0.1136
Kenya,Dominica,Export,Export Partner Share (%),,,,,,,,,,,,0,0.0005,0.0336,0.003,0.0007,0.0021,0.0046,0,,,0,,0.0527,0.0024,,,,
Kenya,Dominican Republic,Export,Export Partner Share (%),,,,,,,,,,0.0132,0.0001,0.0009,0.0104,0.0002,0,0.0005,,0.005,0.0041,,,0,,0.0207,0.0002,,0.0002,0.0009,0
Kenya,East Asia & Pacific,Export,Export Partner Share (%),3.6648,,,,,3.2049,2.6813,3.1424,3.7838,3.9494,2.054,2.7296,3.4481,3.5435,2.8538,3.4281,4.1917,3.4161,2.8454,,,3.9273,,4.5645,5.1617,6.1769,7.0327,6.6152,5.1798
Kenya,East Timor,Export,Export Partner Share (%),,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Kenya,Ecuador,Export,Export Partner Share (%),,,,,,,,,,0.0001,0.0042,0.0016,0.0688,0,0,0.0001,0,0.0003,0.0127,,,0.009,,0.0431,0.0047,0.0031,0.0021,0.0027,0.0046
Kenya,"Egypt, Arab Rep.",Export,Export Partner Share (%),3.0076,,,,,2.6751,4.9158,5.8179,5.9342,5.8846,1.8278,3.058,3.1387,3.4231,3.9156,3.317,4.4937,3.4454,4.4208,,,3.5635,,3.4707,3.5668,3.1988,3.2834,3.1804,2.9613
Kenya,El Salvador,Export,Export Partner Share (%),,,,,,,,,,0.0009,0.0009,0.0144,0.0102,0.0012,0.0003,0.0004,0.0006,,0,,,0.0038,,0.0001,0,0.0001,0.0003,0.0001,0.0002
Kenya,Equatorial Guinea,Export,Export Partner Share (%),,,,,,0.0075,,,0.0069,0.3453,0.0005,0.0062,0.004,0.0089,0.002,,,,,,,,,,,,,0.0001,0.0001
Kenya,Eritrea,Export,Export Partner Share (%),,,,,,0.0471,0.1939,0.1755,0.3341,0.3935,0.1997,0.2476,0.0937,0.3998,0.2272,0.1078,0.0754,0.1633,0.0946,,,0.0582,,0.0774,0.0204,0.0296,0.0211,0.0236,0.0114
Kenya,Estonia,Export,Export Partner Share (%),,,,,,,,,,,,0.0002,0.0003,,0.0002,0.0015,0.0003,0.0071,,,,0.0029,,0.0343,0.0019,0,0.0091,0.0001,0.0001
Kenya,Eswatini,Export,Export Partner Share (%),,,,,,,,,0.0014,0.0057,0.0018,0.0027,0.0017,0.0037,0.0033,0.0013,0.0005,0.0008,0.0028,,,0.0022,,0.0179,0.0042,0.0095,0.0363,0.0056,0.0093
Kenya,Ethiopia(excludes Eritrea),Export,Export Partner Share (%),,,,,,1.8103,1.2655,1.1693,1.3455,1.6929,0.8414,1.4103,0.969,0.9817,1.4536,1.2504,1.2781,1.252,1.07,,,0.8816,,1.2313,1.393,1.1752,1.0346,1.0933,1.2286
Kenya,Ethiopia(includes Eritrea),Export,Export Partner Share (%),0.8327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Europe & Central Asia,Export,Export Partner Share (%),35.2248,,,,,34.4685,31.2555,34.9963,35.2045,38.0732,30.3212,31.3938,29.5449,26.4945,29.3432,29.5263,28.9648,29.0731,26.6889,,,29.1117,,25.1607,24.5335,24.8164,24.9847,25.4391,26.8639
Kenya,Faeroe Islands,Export,Export Partner Share (%),,,,,,,,,,,,,,0.0002,,,,,,,,,,0.0088,,,,,
Kenya,Falkland Island,Export,Export Partner Share (%),,,,,,,,,,,,0,0.0005,0.0015,,,,,,,,,,0.0022,,,0.0093,,
Kenya,Fiji,Export,Export Partner Share (%),,,,,,,,,,0,0.0021,,,0.0023,0.0043,0.0039,0.0039,0.0002,0.0002,,,,,0.0037,0.0035,0.0003,0.0007,0.0001,0
